date,year,hour,lat,lon,precinct,borough,offense_desc,law_category,premise_type
2023-08-11,2023,17.0,40.659635,-73.998894,72,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-11-27,2023,19.0,40.68039035689,-73.94955696439,79,BROOKLYN,FELONY ASSAULT,FELONY,STREET
2022-10-18,2022,12.0,40.777842,-73.955746,19,MANHATTAN,GRAND LARCENY,FELONY,ATM
2023-09-04,2023,20.0,40.657454,-73.911026,73,BROOKLYN,FELONY ASSAULT,FELONY,STREET
2023-04-30,2023,21.0,40.718575,-73.990001,7,MANHATTAN,DANGEROUS WEAPONS,FELONY,HOTEL/MOTEL
2023-03-09,2023,11.0,40.687105,-73.976399,88,BROOKLYN,HARRASSMENT 2,VIOLATION,STREET
2023-12-01,2023,15.0,40.761865,-73.966355,19,MANHATTAN,GRAND LARCENY,FELONY,CLOTHING/BOUTIQUE
2023-07-28,2023,23.0,40.876708,-73.846187,47,BRONX,FELONY ASSAULT,FELONY,STREET
2023-06-11,2023,1.0,40.77687668619,-73.94937555653,19,MANHATTAN,FELONY ASSAULT,FELONY,STREET
2022-04-27,2022,11.0,40.70324300464,-73.99066965476,84,BROOKLYN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-05-13,2023,14.0,40.742696,-73.923539,108,QUEENS,GRAND LARCENY,FELONY,STREET
2023-03-15,2023,20.0,40.72700069402,-73.95298311124,94,BROOKLYN,SEX CRIMES,MISDEMEANOR,STREET
2022-07-31,2022,14.0,40.734091,-74.006238,6,MANHATTAN,ROBBERY,FELONY,RESTAURANT/DINER
2023-07-17,2023,16.0,40.618615,-73.95452,70,BROOKLYN,HARRASSMENT 2,VIOLATION,SMALL MERCHANT
2023-10-23,2023,11.0,40.831731,-73.88588,42,BRONX,GRAND LARCENY,FELONY,STREET
2023-12-23,2023,18.0,40.75353270126,-73.99453689202,14,MANHATTAN,SEX CRIMES,MISDEMEANOR,BAR/NIGHT CLUB
2023-12-12,2023,0.0,40.696378,-73.841681,102,QUEENS,DANGEROUS WEAPONS,FELONY,STREET
2023-12-12,2023,0.0,40.764002,-73.88596,115,QUEENS,DANGEROUS WEAPONS,FELONY,STREET
2023-08-10,2023,15.0,40.722975,-73.982744,9,MANHATTAN,GRAND LARCENY,FELONY,FAST FOOD
2023-07-15,2023,0.0,40.896424,-73.855704,47,BRONX,FELONY ASSAULT,FELONY,BAR/NIGHT CLUB
2023-06-30,2023,2.0,40.8565767276,-73.84389367793,49,BRONX,RAPE,FELONY,HOTEL/MOTEL
2022-10-01,2022,17.0,40.786404,-73.974093,20,MANHATTAN,HARRASSMENT 2,VIOLATION,CHAIN STORE
2023-07-24,2023,20.0,40.6909277086,-73.92065802252,83,BROOKLYN,FELONY ASSAULT,FELONY,BUS (NYC TRANSIT)
2023-07-23,2023,13.0,40.82096601394,-73.93956521486,32,MANHATTAN,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,STREET
2023-07-01,2023,0.0,40.741682,-74.002985,10,MANHATTAN,GRAND LARCENY,FELONY,BAR/NIGHT CLUB
2023-12-29,2023,13.0,40.62583754528,-73.99094489423,66,BROOKLYN,RAPE,FELONY,HOTEL/MOTEL
2023-07-18,2023,21.0,40.756716,-73.822813,109,QUEENS,FELONY ASSAULT,FELONY,STREET
2023-12-12,2023,0.0,40.764002,-73.88596,115,QUEENS,DANGEROUS WEAPONS,FELONY,STREET
2023-10-02,2023,1.0,40.884957,-73.900174,50,BRONX,HARRASSMENT 2,VIOLATION,STREET
2023-09-01,2023,10.0,40.672841,-73.969072,78,BROOKLYN,GRAND LARCENY,FELONY,PUBLIC BUILDING
2023-10-11,2023,19.0,40.711154,-74.007263,1,MANHATTAN,HARRASSMENT 2,VIOLATION,BAR/NIGHT CLUB
2023-12-18,2023,13.0,40.81671,-73.911661,40,BRONX,GRAND LARCENY,FELONY,STREET
2022-07-15,2022,4.0,40.57664597804,-73.97648039607,60,BROOKLYN,RAPE,FELONY,STREET
2023-09-15,2023,18.0,40.76039613927,-73.76750253495,111,QUEENS,RAPE,FELONY,STREET
2022-12-26,2022,0.0,40.881327,-73.877392,52,BRONX,GRAND LARCENY,FELONY,STORE UNCLASSIFIED
